City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
477,Marovoay,MG,78.58,scattered clouds,-16.1,46.6333,Hôtel les Oliviers Marovoay
484,Rudbar,AF,85.73,clear sky,30.15,62.6,
487,Nieuw Amsterdam,SR,79.02,broken clouds,5.8833,-55.0833,Hotel Stardust
489,Bandarbeyla,SO,82.53,broken clouds,9.4942,50.8122,JABIR HOTEL
490,Saint-Pierre,RE,77.58,broken clouds,-21.3393,55.4781,Alize Plage
499,Dharchula,IN,80.64,light rain,29.85,80.5333,Mahara Hotel
500,Sumenep,ID,88.48,clear sky,-7.0167,113.8667,Family Nur Hotel
502,Quatre Cocos,MU,75.09,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
503,Pochutla,MX,75.81,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
504,Marabba,SD,77.29,overcast clouds,12.35,32.1833,
506,Banda Aceh,ID,86.5,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
507,Amarpur,IN,89.17,few clouds,25.0333,86.9,Amit kirana store
508,Mandera,KE,78.35,broken clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
509,Gigmoto,PH,86.23,overcast clouds,13.7796,124.39,Cj's Travellers Inn
512,Tahoua,NE,84.47,few clouds,14.8888,5.2692,Bungalows Guesthouse
517,Shaowu,CN,79.79,overcast clouds,27.3409,117.4831,Yijie Express Hotel
