City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
176,Bambous Virieux,MU,2022-09-21 17:17:15,-20.3428,57.7575,72.21,88,40,11.5
177,Grand Gaube,MU,2022-09-21 17:17:16,-20.0064,57.6608,72.37,73,4,7.0
178,Umm Kaddadah,SD,2022-09-21 17:18:16,13.6017,26.6876,93.56,22,28,11.36
179,Berlevag,NO,2022-09-21 17:18:17,70.8578,29.0864,46.4,81,75,26.46
180,Shenkursk,RU,2022-09-21 17:18:18,62.1091,42.896,45.09,93,92,4.36
181,Ketchikan,US,2022-09-21 17:18:18,55.3422,-131.6461,57.67,88,0,8.05
182,Tasiilaq,GL,2022-09-21 17:18:19,65.6145,-37.6368,39.36,95,76,4.29
183,Luang Prabang,LA,2022-09-21 17:18:19,19.8856,102.1347,72.48,97,86,1.19
184,Butaritari,KI,2022-09-21 17:18:20,3.0707,172.7902,79.57,77,93,3.96
185,Nome,US,2022-09-21 17:18:20,64.5011,-165.4064,44.67,82,75,14.97
186,Hambantota,LK,2022-09-21 17:18:21,6.1241,81.1185,79.99,81,4,16.49
187,Olbia,IT,2022-09-21 17:18:22,40.9214,9.4856,73.45,78,75,11.5
188,Cumra,TR,2022-09-21 17:18:22,37.5732,32.7745,66.34,69,57,8.86
189,Mazagao,BR,2022-09-21 17:18:23,-0.115,-51.2894,95.05,43,3,6.11
190,Beaufort,MY,2022-09-21 17:18:23,5.3473,115.7455,75.54,92,97,2.71
191,Saint-Michel-Des-Saints,CA,2022-09-21 17:18:24,46.6834,-73.9159,63.55,64,61,8.86
192,Erdenet,MN,2022-09-21 17:18:24,49.0333,104.0833,32.59,84,7,2.59
193,Baykit,RU,2022-09-21 17:18:25,61.67,96.37,34.54,90,100,4.72
194,Vostok,RU,2022-09-21 17:15:59,46.4856,135.8833,37.45,76,0,5.73
195,Marsh Harbour,BS,2022-09-21 17:13:31,26.5412,-77.0636,84.43,70,2,16.91
196,Viedma,AR,2022-09-21 17:17:20,-40.8135,-62.9967,45.9,79,42,14.32
197,Bonavista,CA,2022-09-21 17:18:26,48.6499,-53.1147,54.68,70,21,15.19
198,Puerto Del Rosario,ES,2022-09-21 17:18:26,28.5004,-13.8627,78.55,73,20,12.66
199,Wolsztyn,PL,2022-09-21 17:18:26,52.1155,16.1171,54.99,62,73,5.55
200,Turukhansk,RU,2022-09-21 17:18:27,65.8167,87.9833,38.97,95,100,18.81
